# Model:
# Number_of_Rigid_Bodies:2
# Number_of_Frames:101
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy
27.0,0.27,-0.9656,0.2251,-1.9313,0.4503,-2.0435,2.4966,-0.2245,4.0925
28.0,0.28,-0.9063,0.2522,-1.8126,0.5044,-1.8692,2.6003,-0.1133,4.1918
29.0,0.29,-0.8442,0.2782,-1.6884,0.5564,-1.687,2.7009,0.0027,4.2889
30.0,0.3,-0.7796,0.303,-1.5592,0.606,-1.4975,2.7976,0.1234,4.3833
31.0,0.31,-0.7126,0.3264,-1.4253,0.6528,-1.3011,2.89,0.2483,4.4744
32.0,0.32,-0.6436,0.3483,-1.2872,0.6966,-1.0985,2.9776,0.3773,4.562
33.0,0.33,-0.5727,0.3686,-1.1454,0.7371,-0.8904,3.0598,0.51,4.6453
34.0,0.34,-0.5002,0.3871,-1.0003,0.7742,-0.6773,3.1363,0.646,4.7241
35.0,0.35,-0.4263,0.4038,-0.8525,0.8076,-0.46,3.2066,0.785,4.798
36.0,0.36,-0.3512,0.4186,-0.7025,0.8372,-0.2392,3.2704,0.9265,4.8664
37.0,0.37,-0.2753,0.4314,-0.5507,0.8628,-0.0157,3.3273,1.07,4.929
38.0,0.38,-0.1989,0.4422,-0.3977,0.8844,0.2099,3.3771,1.2152,4.9855
39.0,0.39,-0.122,0.4509,-0.244,0.9018,0.4367,3.4196,1.3614,5.0355
40.0,0.4,-0.0451,0.4575,-0.0902,0.915,0.664,3.4544,1.5083,5.0789
41.0,0.41,0.0316,0.462,0.0633,0.924,0.8909,3.4816,1.6553,5.1152
42.0,0.42,0.108,0.4644,0.2159,0.9287,1.1169,3.5009,1.8019,5.1444
43.0,0.43,0.1836,0.4647,0.3672,0.9293,1.341,3.5124,1.9476,5.1662
44.0,0.44,0.2583,0.4629,0.5167,0.9258,1.5626,3.5161,2.0918,5.1805
45.0,0.45,0.3319,0.4591,0.6638,0.9183,1.7808,3.5119,2.234,5.1872
46.0,0.46,0.4041,0.4534,0.8083,0.9068,1.9951,3.4999,2.3737,5.1862
47.0,0.47,0.4748,0.4458,0.9495,0.8916,2.2047,3.4804,2.5104,5.1775
48.0,0.48,0.5436,0.4364,1.0872,0.8728,2.409,3.4534,2.6435,5.1612
49.0,0.49,0.6105,0.4253,1.221,0.8505,2.6073,3.4191,2.7727,5.1372
50.0,0.5,0.6752,0.4125,1.3504,0.825,2.7991,3.3778,2.8973,5.1057
51.0,0.51,0.5733,0.3993,1.1466,0.7986,2.5372,3.2176,2.7811,4.838
52.0,0.52,0.4699,0.3882,0.9398,0.7764,2.269,3.0668,2.6584,4.5806
53.0,0.53,0.3657,0.3806,0.7314,0.7612,1.9992,2.9327,2.5355,4.3431
54.0,0.54,0.2616,0.3763,0.5232,0.7527,1.7304,2.8156,2.4142,4.1258
55.0,0.55,0.1584,0.3754,0.3168,0.7508,1.465,2.7153,2.2964,3.9291
56.0,0.56,0.0568,0.3776,0.1136,0.7552,1.2056,2.6319,2.184,3.7535
57.0,0.57,-0.0424,0.3828,-0.0847,0.7657,0.9548,2.5654,2.079,3.5994
