Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1.0,-0.0342,0.2971,0.8051,-0.1811,-0.0127,0.1492,-0.5659,-0.3751,-0.1712,-0.2787,0.2146,1.0461,-1.2531,-0.9851
1.01,-0.0348,0.3078,0.8068,-0.1797,-0.0218,0.1588,-0.5809,-0.3554,-0.1505,-0.3041,0.2007,1.034,-1.2582,-1.0065
1.02,-0.0353,0.3185,0.8083,-0.1783,-0.0304,0.1687,-0.596,-0.3371,-0.1296,-0.3276,0.1864,1.0166,-1.2633,-1.0253
1.03,-0.0356,0.3293,0.8096,-0.1771,-0.0383,0.1788,-0.6109,-0.3204,-0.1083,-0.349,0.1718,0.9937,-1.2684,-1.0413
1.04,-0.0357,0.3402,0.8106,-0.1761,-0.0458,0.1891,-0.6257,-0.3051,-0.0867,-0.3681,0.1569,0.9655,-1.2737,-1.0549
1.05,-0.0357,0.3511,0.8114,-0.1752,-0.0529,0.1994,-0.6403,-0.2911,-0.0649,-0.3848,0.142,0.9318,-1.279,-1.0664
1.06,-0.0355,0.3622,0.8119,-0.1744,-0.0596,0.2097,-0.6545,-0.2784,-0.0429,-0.3989,0.1271,0.8929,-1.2845,-1.0761
1.07,-0.0353,0.3732,0.812,-0.1736,-0.0661,0.2198,-0.6683,-0.2667,-0.0209,-0.4105,0.1124,0.8488,-1.2901,-1.0842
1.08,-0.0351,0.3843,0.8119,-0.173,-0.0724,0.2296,-0.6816,-0.2561,0.0009,-0.4196,0.0981,0.7997,-1.2957,-1.091
1.09,-0.0348,0.3954,0.8114,-0.1725,-0.0785,0.2391,-0.6943,-0.2464,0.0225,-0.4262,0.0844,0.746,-1.3014,-1.0965
1.1,-0.0346,0.4065,0.8107,-0.172,-0.0845,0.2481,-0.7062,-0.2375,0.0437,-0.4305,0.0714,0.6882,-1.3071,-1.101
1.11,-0.0343,0.4176,0.8097,-0.1716,-0.0903,0.2566,-0.7174,-0.2294,0.0646,-0.4327,0.0594,0.6268,-1.3129,-1.1044
1.12,-0.034,0.4287,0.8084,-0.1713,-0.0961,0.2644,-0.7278,-0.2218,0.0849,-0.4331,0.0484,0.5628,-1.3187,-1.1069
1.13,-0.0338,0.4398,0.8069,-0.1712,-0.1016,0.2716,-0.7374,-0.2149,0.1046,-0.4319,0.0387,0.497,-1.3246,-1.1084
1.14,-0.0335,0.451,0.8051,-0.1711,-0.1069,0.2781,-0.7461,-0.2085,0.1237,-0.4295,0.0305,0.4307,-1.3308,-1.1092
1.15,-0.0333,0.4622,0.8032,-0.1712,-0.1119,0.2838,-0.7538,-0.2025,0.142,-0.4264,0.0239,0.3651,-1.3374,-1.1093
1.16,-0.033,0.4734,0.8012,-0.1713,-0.1165,0.2886,-0.7606,-0.197,0.1595,-0.4228,0.0191,0.3017,-1.3444,-1.1089
1.17,-0.0328,0.4847,0.799,-0.1715,-0.1206,0.2926,-0.7664,-0.1919,0.1761,-0.4191,0.0162,0.2419,-1.3519,-1.1082
1.18,-0.0326,0.496,0.7968,-0.1717,-0.1243,0.2957,-0.7711,-0.1872,0.1918,-0.4157,0.0153,0.1872,-1.3599,-1.1073
1.19,-0.0324,0.5074,0.7946,-0.1718,-0.1272,0.298,-0.7748,-0.183,0.2065,-0.4129,0.0165,0.1388,-1.3685,-1.1063
1.2,-0.0322,0.5189,0.7924,-0.1717,-0.1294,0.2993,-0.7773,-0.1792,0.2203,-0.4109,0.0198,0.0978,-1.3773,-1.1053
1.21,-0.0321,0.5306,0.7902,-0.1713,-0.1308,0.2998,-0.7787,-0.176,0.233,-0.4099,0.0252,0.0651,-1.3863,-1.1041
1.22,-0.0321,0.5423,0.7882,-0.1705,-0.1313,0.2996,-0.7789,-0.1733,0.2449,-0.41,0.0327,0.0413,-1.3949,-1.1026
1.23,-0.0322,0.5542,0.7863,-0.1692,-0.1307,0.2985,-0.7779,-0.1714,0.2557,-0.4111,0.0422,0.0266,-1.4028,-1.1008
1.24,-0.0323,0.5662,0.7845,-0.1674,-0.1289,0.2969,-0.7756,-0.1702,0.2655,-0.4134,0.0539,0.021,-1.4093,-1.0982
1.25,-0.0325,0.5785,0.7829,-0.165,-0.126,0.2946,-0.7721,-0.1698,0.2743,-0.4166,0.0678,0.024,-1.4137,-1.0949
1.26,-0.0327,0.5909,0.7816,-0.1619,-0.1218,0.2918,-0.7672,-0.1704,0.2819,-0.4205,0.0841,0.035,-1.4153,-1.0906
1.27,-0.0331,0.6036,0.7804,-0.1582,-0.1164,0.2885,-0.7611,-0.1718,0.288,-0.4249,0.103,0.053,-1.4133,-1.0854
1.28,-0.0335,0.6164,0.7795,-0.1538,-0.1096,0.2848,-0.7536,-0.1742,0.2924,-0.4295,0.1249,0.0769,-1.4068,-1.0795
1.29,-0.0339,0.6294,0.7789,-0.1488,-0.1016,0.2806,-0.7449,-0.1776,0.2948,-0.4339,0.1502,0.1051,-1.3953,-1.0734
1.3,-0.0344,0.6427,0.7785,-0.1433,-0.0925,0.276,-0.7348,-0.1819,0.2947,-0.4379,0.1792,0.1363,-1.3779,-1.0676
1.31,-0.035,0.656,0.7784,-0.1373,-0.0822,0.271,-0.7234,-0.1871,0.2918,-0.4411,0.2123,0.1689,-1.3542,-1.063
1.32,-0.0356,0.6695,0.7784,-0.1309,-0.0709,0.2654,-0.7108,-0.1933,0.2858,-0.4431,0.2499,0.2014,-1.3238,-1.0602
1.33,-0.0363,0.6831,0.7787,-0.1243,-0.0589,0.2593,-0.697,-0.2005,0.2764,-0.4436,0.2922,0.2326,-1.2865,-1.0599
1.34,-0.037,0.6966,0.779,-0.1176,-0.0461,0.2527,-0.682,-0.2085,0.2634,-0.4423,0.3391,0.2613,-1.2425,-1.0626
1.35,-0.0378,0.7102,0.7795,-0.1108,-0.0329,0.2455,-0.666,-0.2175,0.2467,-0.439,0.3904,0.2866,-1.1925,-1.0683
1.36,-0.0386,0.7237,0.7801,-0.1041,-0.0193,0.2377,-0.649,-0.2274,0.2266,-0.4336,0.4458,0.3079,-1.1377,-1.0772
1.37,-0.0394,0.7371,0.7806,-0.0976,-0.0056,0.2293,-0.6311,-0.2383,0.2032,-0.4259,0.5044,0.3248,-1.08,-1.0887
1.38,-0.0403,0.7503,0.7812,-0.0913,0.0081,0.2203,-0.6125,-0.2501,0.1769,-0.4161,0.5654,0.3373,-1.0219,-1.1025
1.39,-0.0412,0.7634,0.7818,-0.0853,0.0216,0.2108,-0.5933,-0.2629,0.1482,-0.4043,0.6277,0.3455,-0.9658,-1.118
1.4,-0.042,0.7762,0.7824,-0.0796,0.0349,0.2008,-0.5735,-0.2767,0.1175,-0.3907,0.69,0.3498,-0.9144,-1.1345
1.41,-0.043,0.7888,0.7831,-0.0742,0.0478,0.1903,-0.5535,-0.2915,0.0853,-0.3755,0.7511,0.3507,-0.8698,-1.1513
1.42,-0.0439,0.8012,0.7838,-0.0692,0.0603,0.1795,-0.5332,-0.3072,0.0522,-0.3591,0.8097,0.3487,-0.8335,-1.1679
1.43,-0.0448,0.8134,0.7845,-0.0645,0.0724,0.1683,-0.5128,-0.324,0.0185,-0.3416,0.8648,0.3443,-0.8063,-1.1838
1.44,-0.0457,0.8254,0.7854,-0.0601,0.084,0.157,-0.4925,-0.3418,-0.0154,-0.3235,0.9154,0.3381,-0.7887,-1.1985
1.45,-0.0467,0.8372,0.7864,-0.0561,0.0951,0.1456,-0.4725,-0.3606,-0.0492,-0.3047,0.9608,0.3304,-0.7806,-1.2118
1.46,-0.0476,0.8489,0.7876,-0.0524,0.1059,0.1342,-0.4528,-0.3802,-0.0828,-0.2856,1.0005,0.3215,-0.7815,-1.2236
1.47,-0.0484,0.8604,0.7889,-0.049,0.1162,0.1229,-0.4336,-0.4006,-0.1159,-0.266,1.0341,0.3116,-0.791,-1.2338
1.48,-0.0492,0.8718,0.7903,-0.0459,0.1263,0.1118,-0.4151,-0.4218,-0.1486,-0.246,1.0616,0.3008,-0.808,-1.2424
1.49,-0.0499,0.8832,0.7918,-0.0431,0.1362,0.1009,-0.3974,-0.4434,-0.1807,-0.2255,1.083,0.2891,-0.8316,-1.2495
1.5,-0.0505,0.8945,0.7934,-0.0406,0.1458,0.0903,-0.3807,-0.4654,-0.2122,-0.2047,1.0983,0.2764,-0.8606,-1.2554
1.51,-0.0509,0.9058,0.795,-0.0383,0.1552,0.08,-0.365,-0.4876,-0.243,-0.1833,1.1076,0.2629,-0.8934,-1.26
1.52,-0.0513,0.9171,0.7966,-0.0364,0.1644,0.07,-0.3506,-0.5099,-0.273,-0.1616,1.1111,0.2487,-0.9285,-1.2637
1.53,-0.0515,0.9284,0.7982,-0.0346,0.1734,0.0602,-0.3375,-0.5319,-0.3021,-0.1395,1.1089,0.2337,-0.9642,-1.2665
1.54,-0.0517,0.9397,0.7996,-0.033,0.1823,0.0507,-0.3257,-0.5537,-0.3301,-0.1171,1.1011,0.2183,-0.9993,-1.2687
1.55,-0.0518,0.9509,0.8008,-0.0316,0.1908,0.0414,-0.3152,-0.575,-0.3568,-0.0947,1.0877,0.2026,-1.0323,-1.2703
1.56,-0.0519,0.9621,0.8019,-0.0302,0.1991,0.0323,-0.3062,-0.5959,-0.3819,-0.0723,1.0687,0.1869,-1.0623,-1.2714
1.57,-0.0519,0.9733,0.8027,-0.0289,0.207,0.0232,-0.2985,-0.6161,-0.4054,-0.0502,1.044,0.1715,-1.0888,-1.2722
1.58,-0.052,0.9844,0.8032,-0.0276,0.2144,0.0142,-0.2921,-0.6358,-0.4269,-0.0284,1.0136,0.1566,-1.1113,-1.2728
1.59,-0.0521,0.9955,0.8035,-0.0263,0.2215,0.0053,-0.287,-0.6547,-0.4462,-0.007,0.9774,0.1424,-1.1296,-1.2732
1.6,-0.0522,1.0065,0.8035,-0.025,0.228,-0.0037,-0.2831,-0.6729,-0.463,0.0137,0.9354,0.1291,-1.1436,-1.2734
1.61,-0.0524,1.0174,0.8033,-0.0237,0.2339,-0.0126,-0.2802,-0.6904,-0.4774,0.0339,0.8877,0.1168,-1.1536,-1.2735
1.62,-0.0526,1.0283,0.8027,-0.0223,0.2393,-0.0216,-0.2782,-0.7071,-0.489,0.0535,0.8344,0.1056,-1.1597,-1.2737
1.63,-0.0529,1.0392,0.802,-0.0209,0.2441,-0.0304,-0.2771,-0.723,-0.4979,0.0726,0.7759,0.0955,-1.1623,-1.2738
1.64,-0.0531,1.0501,0.801,-0.0196,0.2483,-0.0392,-0.2767,-0.738,-0.5041,0.0911,0.7127,0.0865,-1.1617,-1.274
1.65,-0.0532,1.061,0.7999,-0.0182,0.2518,-0.0477,-0.2769,-0.7521,-0.5076,0.1092,0.6454,0.0786,-1.1586,-1.2743
1.66,-0.0532,1.0719,0.7986,-0.0169,0.2548,-0.056,-0.2776,-0.7652,-0.5087,0.1269,0.5752,0.0718,-1.1537,-1.2747
1.67,-0.0531,1.083,0.7971,-0.0157,0.2571,-0.0638,-0.2786,-0.7773,-0.5076,0.1444,0.5031,0.0662,-1.1478,-1.2751
1.68,-0.0527,1.0942,0.7956,-0.0145,0.2588,-0.071,-0.2798,-0.7883,-0.5047,0.1616,0.4308,0.0618,-1.1416,-1.2754
1.69,-0.0522,1.1056,0.794,-0.0133,0.2599,-0.0776,-0.2812,-0.7982,-0.5004,0.1787,0.3599,0.0585,-1.1362,-1.2756
1.7,-0.0514,1.1173,0.7923,-0.0121,0.2603,-0.0834,-0.2826,-0.8069,-0.495,0.1956,0.2922,0.0566,-1.132,-1.2755
